Title:               Discount Rates, Federal Reserve Bank of New York for United States
Series ID:           M13009USM156NNBR
Source:              National Bureau of Economic Research
Release:             NBER Macrohistory Database (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1914-11-01 to 1969-07-01
Last Updated:        2012-08-20 8:16 AM CDT
Notes:               Data Are Computed By NBER By Taking Simple Averages Of Rates For
                     Commercial, Agricultural, And Livestock Paper, And Weighting Them By
                     The Number Of Days Each Rate Was In Force. Data Are For All Classes
                     And Maturities Of Discount Bills. Source: Federal Reserve Board, Data
                     For 1914-1922: "Discount Rates Of Federal Reserve Banks, 1914-1921",
                     1922. Data For 1922-1969: Annual Reports For 1931-1942; Federal
                     Reserve Bulletin, Successive Issues.
                     
                     This NBER data series m13009 appears on the NBER website in Chapter 13
                     at http://www.nber.org/databases/macrohistory/contents/chapter13.html.
                     
                     NBER Indicator: m13009

DATE       VALUE
1946-08-01  1.00
1946-09-01  1.00
1946-10-01  1.00
1946-11-01  1.00
1946-12-01  1.00
1947-01-01  1.00
1947-02-01  1.00
1947-03-01  1.00
1947-04-01  1.00
1947-05-01  1.00
1947-06-01  1.00
1947-07-01  1.00
1947-08-01  1.00
1947-09-01  1.00
1947-10-01  1.00
1947-11-01  1.00
1947-12-01  1.00
1948-01-01  1.16
1948-02-01  1.25
1948-03-01  1.25
1948-04-01  1.25
1948-05-01  1.25
1948-06-01  1.25
1948-07-01  1.25
1948-08-01  1.40
1948-09-01  1.50
1948-10-01  1.50
1948-11-01  1.50
1948-12-01  1.50
1949-01-01  1.50
1949-02-01  1.50
1949-03-01  1.50
1949-04-01  1.50
1949-05-01  1.50
1949-06-01  1.50
1949-07-01  1.50
1949-08-01  1.50
1949-09-01  1.50
1949-10-01  1.50
1949-11-01  1.50
1949-12-01  1.50
1950-01-01  1.50
1950-02-01  1.50
1950-03-01  1.50
1950-04-01  1.50
1950-05-01  1.50
1950-06-01  1.50
1950-07-01  1.50
1950-08-01  1.59
1950-09-01  1.75
1950-10-01  1.75
1950-11-01  1.75
1950-12-01  1.75
1951-01-01  1.75
1951-02-01  1.75
1951-03-01  1.75
1951-04-01  1.75
1951-05-01  1.75
1951-06-01  1.75
1951-07-01  1.75
1951-08-01  1.75
1951-09-01  1.75
1951-10-01  1.75
1951-11-01  1.75
1951-12-01  1.75
1952-01-01  1.75
1952-02-01  1.75
1952-03-01  1.75
1952-04-01  1.75
1952-05-01  1.75
1952-06-01  1.75
1952-07-01  1.75
1952-08-01  1.75
1952-09-01  1.75
1952-10-01  1.75
1952-11-01  1.75
1952-12-01  1.75
1953-01-01  1.88
1953-02-01  2.00
1953-03-01  2.00
1953-04-01  2.00
1953-05-01  2.00
1953-06-01  2.00
1953-07-01  2.00
1953-08-01  2.00
1953-09-01  2.00
1953-10-01  2.00
1953-11-01  2.00
1953-12-01  2.00
1954-01-01  2.00
1954-02-01  1.79
1954-03-01  1.75
1954-04-01  1.62
1954-05-01  1.50
1954-06-01  1.50
1954-07-01  1.50
1954-08-01  1.50
1954-09-01  1.50
1954-10-01  1.50
1954-11-01  1.50
1954-12-01  1.50
1955-01-01  1.50
1955-02-01  1.50
1955-03-01  1.50
1955-04-01  1.63
1955-05-01  1.75
1955-06-01  1.75
1955-07-01  1.75
1955-08-01  1.97
1955-09-01  2.18
1955-10-01  2.25
1955-11-01  2.36
1955-12-01  2.50
1956-01-01  2.50
1956-02-01  2.50
1956-03-01  2.50
1956-04-01  2.65
1956-05-01  2.75
1956-06-01  2.75
1956-07-01  2.75
1956-08-01  2.81
1956-09-01  3.00
1956-10-01  3.00
1956-11-01  3.00
1956-12-01  3.00
1957-01-01  3.00
1957-02-01  3.00
1957-03-01  3.00
1957-04-01  3.00
1957-05-01  3.00
1957-06-01  3.00
1957-07-01  3.00
1957-08-01  3.15
1957-09-01  3.50
1957-10-01  3.50
1957-11-01  3.23
1957-12-01  3.00
1958-01-01  2.94
1958-02-01  2.75
1958-03-01  2.35
1958-04-01  2.03
1958-05-01  1.75
1958-06-01  1.75
1958-07-01  1.75
1958-08-01  1.75
1958-09-01  1.91
1958-10-01  2.00
1958-11-01  2.40
